Scope,League,ModelWeight,OddsWeight,IsGridWeight,IsProductionWeight,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,IsOverallOptimum
league,E2,0.2,0.8,True,False,816,0.4950980392156863,1.0206544898909815,0.6113698885677167,0.48651960784313725,0.26622196219087885,0.24632352941176472,0.18494060348162833,0.0011520048018336393,-0.001314219681324774,0.003730771168971258,0.0008233638129711007,-0.0008095864349310477,0.0025991842791789313,False
league,E2,0.25,0.75,True,False,816,0.4987745098039216,1.0211386365533048,0.6117120503310975,0.48284313725490197,0.266532125324419,0.24632352941176472,0.18496716389682163,0.0016361514641569652,-0.0014424903526532528,0.004858408231419949,0.0011655255763519667,-0.0008785729030175021,0.0033829920584362043,False
league,E2,0.3,0.7,True,False,816,0.5,1.021699678210838,0.6121087404185336,0.47549019607843135,0.26684228845795915,0.24632352941176472,0.18499875035440216,0.0021971931216901996,-0.0014958602276844645,0.006053367178167084,0.0015622156637880025,-0.0008880993554733208,0.0042204045214784425,False
league,E2,0.35,0.65,True,False,816,0.4963235294117647,1.0223370715861473,0.612559958830025,0.4742647058823529,0.2671524515914993,0.24632352941176472,0.18503536285436994,0.002834586496999414,-0.0014535194006804475,0.007311800023748683,0.00201343407527943,-0.0008486394460040042,0.005111397359528834,False
league,E2,0.4,0.6,True,False,816,0.4963235294117647,1.0230503987988722,0.6130657055655716,0.47058823529411764,0.26746261472503946,0.24632352941176472,0.18507700139672492,0.003547913709724293,-0.0013257124001959607,0.008647280602006436,0.002519180810826027,-0.0007560204149026362,0.006056912995795024,False
league,E2,0.411764705882,0.588235294118,False,True,816,0.4963235294117647,1.023229241231377,0.6131926293289847,0.47058823529411764,0.26753559428587026,0.24632352941176472,0.18508752912911355,0.0037267561422291706,-0.0012847681810279953,0.00897578454963576,0.002646104574239083,-0.0007231305522529596,0.00629063915826335,False
league,E2,0.45,0.55,True,False,816,0.4950980392156863,1.02383936259478,0.6136259806251735,0.4681372549019608,0.2677727778585796,0.24632352941176472,0.18512366598146718,0.004336877505632053,-0.0011209496007154927,0.010070830155311983,0.003079455870427905,-0.0006069493151168503,0.007070684562773902,False
league,E2,0.5,0.5,True,False,816,0.49142156862745096,1.0247037826957228,0.6142407840088305,0.4583333333333333,0.26808294099211977,0.24632352941176472,0.18517535660859663,0.0052012976065749505,-0.0008381506263432314,0.011536033262078282,0.003694259254084953,-0.0004084065847801771,0.008127329986151236,False
league,E2,0.55,0.44999999999999996,True,False,816,0.49142156862745096,1.0256435931802013,0.614910115716543,0.45955882352941174,0.2683931041256599,0.24632352941176472,0.18523207327811334,0.006141108091053393,-0.000481490894395592,0.01309508928067673,0.004363590961797392,-0.00016544194185287572,0.009239353384991355,False
league,E2,0.6,0.4,True,False,816,0.49387254901960786,1.0266588408298554,0.6156339757483105,0.4571078431372549,0.2687032672592001,0.24632352941176472,0.18529381599001732,0.0071563557407074985,-4.7213309291249665e-05,0.014755210251937436,0.00508745099356489,0.00013264306015705333,0.010405293473159364,False
league,E2,0.65,0.35,True,False,816,0.4950980392156863,1.027749684399836,0.6164123641041332,0.4522058823529412,0.2690134303927402,0.24632352941176472,0.1853605847443085,0.00824719931068807,0.0004636881570978191,0.01650154751282092,0.005865839349387669,0.0005065406951491242,0.01162556670655155,False
league,E2,0.7,0.30000000000000004,True,False,816,0.49264705882352944,1.0289163947917115,0.6172452807840113,0.45588235294117646,0.2693235935262804,0.24632352941176472,0.18543237954098693,0.009413909702563616,0.0010629518672106487,0.01830347619086536,0.006698756029265729,0.0009179302249059386,0.012900081704444434,False
league,E2,0.75,0.25,True,False,816,0.49387254901960786,1.030159356127284,0.6181327257879446,0.45588235294117646,0.26963375665982053,0.24632352941176472,0.18550920038005259,0.010656871038136062,0.0017290387714753107,0.02016572391696863,0.007586201033199069,0.0013825233062211035,0.014228783495352648,False
league,E2,0.8,0.19999999999999996,True,False,816,0.49019607843137253,1.0314790677412318,0.6190746991159333,0.45955882352941174,0.2699439197933607,0.24632352941176472,0.18559104726150552,0.0119765826520839,0.0024726504060150313,0.022104075899043982,0.00852817436118769,0.0019003199390926376,0.01561166481009521,False
league,E2,0.85,0.15000000000000002,True,False,816,0.48651960784313725,1.032876147130749,0.620071200767977,0.4583333333333333,0.2702540829269009,0.24632352941176472,0.1856779201853456,0.013373662041601175,0.0032940837752900797,0.024119626234418035,0.00952467601323137,0.002471320123519738,0.01704797714243467,False
league,E2,0.9,0.09999999999999998,True,False,816,0.48651960784313725,1.034351333922167,0.621122230744076,0.46200980392156865,0.270564246060441,0.24632352941176472,0.18576981915157298,0.01484884883301918,0.004180227234217226,0.026213992722244506,0.010575705989330442,0.003096017670877871,0.018539610698991352,False
league,E2,0.95,0.050000000000000044,True,False,816,0.4852941176470588,1.035905494938911,0.6222277890442303,0.4644607843137255,0.27087440919398115,0.24632352941176472,0.18586674416018759,0.016403009849763173,0.005126613307764416,0.028374334029211013,0.011681264289484683,0.0037751480777569874,0.02008555663018051,False
league,E2,1.0,0.0,True,False,816,0.4852941176470588,1.0375396304832891,0.6233878756684398,0.4681372549019608,0.27118457232752136,0.24632352941176472,0.18596869521118942,0.018037145394141252,0.00617590727977727,0.03060837494841461,0.012841350913694205,0.004507660529390814,0.02170187406664018,False
league,E3,0.0,1.0,True,False,816,0.47671568627450983,1.0358208484486047,0.6227250936684132,0.5661764705882353,0.268595195735196,0.2647058823529412,0.19418547649494497,0.0,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,True
